"№ ";"Звонки ";"ПОНЕДЕЛЬНИК ";"к. ";"ВТОРНИК ";"к. ";"СРЕДА ";"к. ";"ЧЕТВЕРГ ";"к. ";"ПЯТНИЦА ";"к. "
"0 ";"8.10-8.55 ";"Физический практикум";"16/16а ";"Украинский ";"22 ";"Алгебра ";"7 ";"Геометрия ";"7 ";"Физкультура ";"с/з "
"1 ";"9.00-9.45 ";"Право ";"6 ";"Мировая литература";"30 ";"Алгебра ";"7 ";"Защита Отечества / Военно-медицинская подготовка";"28 ";"Физкультура ";"с/з "
"2 ";"9.50-10.35 ";"Химия ";"10 ";"Физика ";"16 ";"География ";"19 ";"Украинская литература";"24 ";"Биология ";"3 "
"3 ";"10.45-11.30 ";"Английский ";"27 ";"Физика ";"16 ";"Химия ";"10 ";"Украинская литература";"24 ";"Основы экономики";"3 "
"4 ";"11.55-12.40 ";"Физика ";"16 ";"История Украины";"7 ";"Физика ";"16 ";"Биология ";"3 ";"География ";"19 "
"5 ";"12.50-13.35 ";"Алгебра ";"7 ";"Всемирная история";"7 ";"Информатика-2 ";"25 ";"Геометрия ";"7 ";"Алгебра ";"7 "
"6 ";"13.45-14.30 ";"Геометрия ";"7 ";"Информатика-1 ";"25 ";"Информатика-2 ";"25 ";"Физика ";"16 ";"Английский ";"27 "
"7 ";"14.35-15.20 ";"Русский ";"30 ";"Информатика-1 ";"25 ";"   ";"   ";"Физика ";"16 ";"Английский ";"27 "
"8 ";"15.25-16.10 ";"   ";"   ";"   ";"   ";"   ";"   ";"Информационные технологии";"25/26 ";"Классный час";"7 "
